"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","SaveMessage_ShouldFail_IfUserIsNotInChat","ThatChat.Backend.Tests","Tue Dec 09 20:57:46 UTC 2025","passed","Tue Dec 09 20:57:46 UTC 2025","ChatServiceTests","ThatChat.Backend.Tests.Services","ChatServiceTests","SaveMessage_ShouldFail_IfUserIsNotInChat"
"","334","GetChats_ShouldReturnGlobalChat_ForNewUser","ThatChat.Backend.Tests","Tue Dec 09 20:57:43 UTC 2025","passed","Tue Dec 09 20:57:44 UTC 2025","ChatApiTests","ThatChat.Backend.Tests.Api","ChatApiTests","GetChats_ShouldReturnGlobalChat_ForNewUser"
"","64","SaveMessage_ShouldReturnNull_WhenMessageAndFileAreEmpty","ThatChat.Backend.Tests","Tue Dec 09 20:57:46 UTC 2025","passed","Tue Dec 09 20:57:46 UTC 2025","ChatServiceTests","ThatChat.Backend.Tests.Services","ChatServiceTests","SaveMessage_ShouldReturnNull_WhenMessageAndFileAreEmpty"
"","95","Middleware_ShouldHandleConcurrentRequests","ThatChat.Backend.Tests","Tue Dec 09 20:57:44 UTC 2025","passed","Tue Dec 09 20:57:44 UTC 2025","ChatApiTests","ThatChat.Backend.Tests.Api","ChatApiTests","Middleware_ShouldHandleConcurrentRequests"
"","146","CreateOrGetPrivateChat_ShouldCreateNew_WhenNoneExists","ThatChat.Backend.Tests","Tue Dec 09 20:57:46 UTC 2025","passed","Tue Dec 09 20:57:46 UTC 2025","ChatServiceTests","ThatChat.Backend.Tests.Services","ChatServiceTests","CreateOrGetPrivateChat_ShouldCreateNew_WhenNoneExists"
"","13","SaveMessage_ShouldReturnNull_WhenMessageIsTooLong","ThatChat.Backend.Tests","Tue Dec 09 20:57:46 UTC 2025","passed","Tue Dec 09 20:57:46 UTC 2025","ChatServiceTests","ThatChat.Backend.Tests.Services","ChatServiceTests","SaveMessage_ShouldReturnNull_WhenMessageIsTooLong"
"","581","CreateChat_ShouldNotifyTargetUser_ViaSignalR","ThatChat.Backend.Tests","Tue Dec 09 20:57:44 UTC 2025","passed","Tue Dec 09 20:57:45 UTC 2025","ChatHubTests","ThatChat.Backend.Tests.Hubs","ChatHubTests","CreateChat_ShouldNotifyTargetUser_ViaSignalR"
"","728","JoinChat_ShouldNotReceiveMessages_IfUserHasNoAccess","ThatChat.Backend.Tests","Tue Dec 09 20:57:45 UTC 2025","passed","Tue Dec 09 20:57:46 UTC 2025","ChatHubTests","ThatChat.Backend.Tests.Hubs","ChatHubTests","JoinChat_ShouldNotReceiveMessages_IfUserHasNoAccess"
"","2174","CreateChat_ShouldReturn200_WhenUserExists","ThatChat.Backend.Tests","Tue Dec 09 20:57:41 UTC 2025","passed","Tue Dec 09 20:57:43 UTC 2025","ChatApiTests","ThatChat.Backend.Tests.Api","ChatApiTests","CreateChat_ShouldReturn200_WhenUserExists"
"","358","Upload_ShouldFail_WhenFileIsTooLarge","ThatChat.Backend.Tests","Tue Dec 09 20:57:44 UTC 2025","passed","Tue Dec 09 20:57:44 UTC 2025","ChatApiTests","ThatChat.Backend.Tests.Api","ChatApiTests","Upload_ShouldFail_WhenFileIsTooLarge"
"","354","SendMessage_ShouldBroadcastToGroup","ThatChat.Backend.Tests","Tue Dec 09 20:57:46 UTC 2025","passed","Tue Dec 09 20:57:46 UTC 2025","ChatHubTests","ThatChat.Backend.Tests.Hubs","ChatHubTests","SendMessage_ShouldBroadcastToGroup"
